LINE_NAME,MODEL_CODE,KITTING_LIST, TEMP_SERIAL,PCBID, OPTICAL,OPTICAL2, LENID, INSERT_DT
PT02,036,KITTING NOT SETTING IN PROCESS,202008036000999,OLASDFASDFASDFASD;ASDGASDGASDGFA;ASDGSDFGHSDFGS;SDFHGSDFGHSDF;ASDFASDGASDFHGSDF;ASDGSDFGHSDFGSD,NOT,NOT,NOT2020-08-25 11:41:53,
PT02,036,KITTING NOT SETTING IN PROCESS,202008036000999,OLASDFASDFASDFASD;ASDGASDGASDGFA;ASDGSDFGHSDFGS;SDFHGSDFGHSDF;ASDFASDGASDFHGSDF;ASDGSDFGHSDFGSD,NOT,NOT,NOT2020-08-25 11:41:53,
PT02,036,KITTING NOT SETTING IN PROCESS,202008036000999,OLASDFASDFASDFASD;ASDGASDGASDGFA;ASDGSDFGHSDFGS;SDFHGSDFGHSDF;ASDFASDGASDFHGSDF;ASDGSDFGHSDFGSD,1XY1RZ770BU7;ASDGASDF;ASDGASDGAS,NOT,NOT2020-08-25 11:42:27,
PT02,036,KITTING NOT SETTING IN PROCESS,202008036000999,OLASDFASDFASDFASD;ASDGASDGASDGFA;ASDGSDFGHSDFGS;SDFHGSDFGHSDF;ASDFASDGASDFHGSDF;ASDGSDFGHSDFGSD,1XY1RZ770BU7;ASDGASDF;ASDGASDGAS,NOT,NOT2020-08-25 11:42:27,
PT02,036,KITTING NOT SETTING IN PROCESS,202008036000999,OLASDFASDFASDFASD;ASDGASDGASDGFA;ASDGSDFGHSDFGS;SDFHGSDFGHSDF;ASDFASDGASDFHGSDF;ASDGSDFGHSDFGSD,1XY1RZ770BU7;ASDGASDF;ASDGASDGAS,TESTSDGASDGFASD;2XY1RZ770BU7,NOT2020-08-25 11:44:33,
PT02,036,KITTING NOT SETTING IN PROCESS,202008036000999,OLASDFASDFASDFASD;ASDGASDGASDGFA;ASDGSDFGHSDFGS;SDFHGSDFGHSDF;ASDFASDGASDFHGSDF;ASDGSDFGHSDFGSD,1XY1RZ770BU7;ASDGASDF;ASDGASDGAS,TESTSDGASDGFASD;2XY1RZ770BU7,NOT2020-08-25 11:44:33,
PT02,036,KITTING NOT SETTING IN PROCESS,202008036000999,OLASDFASDFASDFASD;ASDGASDGASDGFA;ASDGSDFGHSDFGS;SDFHGSDFGHSDF;ASDFASDGASDFHGSDF;ASDGSDFGHSDFGSD,TESTTESTTEST;TESTASDGASDFGA;1XY1RZ770BU7,NOT,NOT2020-08-25 11:51:43,
PT02,036,KITTING NOT SETTING IN PROCESS,202008036000999,OLASDFASDFASDFASD;ASDGASDGASDGFA;ASDGSDFGHSDFGS;SDFHGSDFGHSDF;ASDFASDGASDFHGSDF;ASDGSDFGHSDFGSD,TESTTESTTEST;TESTASDGASDFGA;1XY1RZ770BU7,NOT,NOT2020-08-25 11:51:43,
PT02,036,KITTING NOT SETTING IN PROCESS,202008036000999,TESTTESTTEST;TESTTEST22222;TEST3333TEST;OLTESTSTESTTSET;TESTASDGASDGASD;TESTESTADSGSA,NOT,NOT,NOT2020-08-25 11:53:53,
PT02,036,KITTING NOT SETTING IN PROCESS,202008036000999,TESTTESTTEST;TESTTEST22222;TEST3333TEST;OLTESTSTESTTSET;TESTASDGASDGASD;TESTESTADSGSA,NOT,NOT,NOT2020-08-25 11:53:53,
PT02,036,KITTING NOT SETTING IN PROCESS,202008036000999,TESTTESTTEST;TESTTEST22222;TEST3333TEST;OLTESTSTESTTSET;TESTASDGASDGASD;TESTESTADSGSA,ASDFASDFASDFAS;TESTSAGDSASDFA;1XY1RZ770BU7,NOT,NOT2020-08-25 13:13:48,
PT02,036,KITTING NOT SETTING IN PROCESS,202008036000999,TESTTESTTEST;TESTTEST22222;TEST3333TEST;OLTESTSTESTTSET;TESTASDGASDGASD;TESTESTADSGSA,ASDFASDFASDFAS;TESTSAGDSASDFA;1XY1RZ770BU7,NOT,NOT2020-08-25 13:13:48,
