LINE_NAME,MODEL_CODE,KITTING_LIST, TEMP_SERIAL,PCBID, OPTICAL, INSERT_DT
PJ1,012,KITTING NOT SETTING IN PROCESS,202001012000099,DFFFFFFFFFFFFF;DFFFFFFFFFFFFFF;DFFFFFFFFFFFFFF;DFFFFFFFFFFFFFFF,FDDDDDDDDDDD;DFFFFFFFFFFFFFFF;DFFFFFFFFFFFFFFFFF,2020-01-10 13:24:02,
PJ1,012,KITTING NOT SETTING IN PROCESS,202001012000099,DFFFFFFFFFFFFF;DFFFFFFFFFFFFFF;DFFFFFFFFFFFFFF;DFFFFFFFFFFFFFFF,FDDDDDDDDDDD;DFFFFFFFFFFFFFFF;DFFFFFFFFFFFFFFFFF,2020-01-10 13:24:03,
PJ1,012,KITTING NOT SETTING IN PROCESS,202001012000098,DKFJJJJJJJJJJJ;KJDFFFFFFFFFFFF;DKJFFFFFFFFFFFFF;DFJKKKKKKKKKKKKK,KJFDDDDDDD;DFKJJJJJJJJJJ;DKFJJJJJJJJJJJ,2020-01-10 13:25:48,
PJ1,012,KITTING NOT SETTING IN PROCESS,202001012000098,DKFJJJJJJJJJJJ;KJDFFFFFFFFFFFF;DKJFFFFFFFFFFFFF;DFJKKKKKKKKKKKKK,KJFDDDDDDD;DFKJJJJJJJJJJ;DKFJJJJJJJJJJJ,2020-01-10 13:25:48,
PJ1,012,KITTING NOT SETTING IN PROCESS,202001012000097,NOT,FFFFFFFFFFFFFFFFFF;FGGGGGGGGGGGGGGGGG;RTJKKKKKKKKK,2020-01-10 13:26:29,
PJ1,012,KITTING NOT SETTING IN PROCESS,202001012000097,NOT,FFFFFFFFFFFFFFFFFF;FGGGGGGGGGGGGGGGGG;RTJKKKKKKKKK,2020-01-10 13:26:29,
PJ1,012,KITTING NOT SETTING IN PROCESS,202001012000096,NOT,SDDDDDDDDDDDDD;SDDDDDDDDDDDDD;SDDDDDDDDDDDDDD,2020-01-10 13:29:51,
PJ1,012,KITTING NOT SETTING IN PROCESS,202001012000096,NOT,SDDDDDDDDDDDDD;SDDDDDDDDDDDDD;SDDDDDDDDDDDDDD,2020-01-10 13:29:54,
PJ1,012,KITTING NOT SETTING IN PROCESS,202001012000095,NOT,202001012000096;202001012000096;202001012000096,2020-01-10 13:35:25,
PJ1,012,KITTING NOT SETTING IN PROCESS,202001012000095,NOT,202001012000096;202001012000096;202001012000096,2020-01-10 13:35:25,
PJ1,012,KITTING NOT SETTING IN PROCESS,202001012000095,202001012000095;202001012000095;202001012000095;202001012000095,202001012000096;202001012000096;202001012000096,2020-01-10 14:09:14,
PJ1,012,KITTING NOT SETTING IN PROCESS,202001012000095,202001012000095;202001012000095;202001012000095;202001012000095,202001012000096;202001012000096;202001012000096,2020-01-10 14:12:01,
PJ1,012,KITTING NOT SETTING IN PROCESS,202001012000095,202001012000095;202001012000095;202001012000095;202001012000095,202001012000096;202001012000096;202001012000096,2020-01-10 14:12:01,
PJ1,012,KITTING NOT SETTING IN PROCESS,202001012000096,202001012000096;202001012000096;202001012000096;202001012000096,SDDDDDDDDDDDDD;SDDDDDDDDDDDDD;SDDDDDDDDDDDDDD,2020-01-10 14:13:31,
PJ1,012,KITTING NOT SETTING IN PROCESS,202001012000096,202001012000096;202001012000096;202001012000096;202001012000096,SDDDDDDDDDDDDD;SDDDDDDDDDDDDD;SDDDDDDDDDDDDDD,2020-01-10 14:13:31,
PJ1,012,KITTING NOT SETTING IN PROCESS,202001012000094,NOT,NOT,2020-01-10 14:16:35,
PJ1,012,KITTING NOT SETTING IN PROCESS,202001012000094,NOT,NOT,2020-01-10 14:16:35,
PJ1,012,KITTING NOT SETTING IN PROCESS,202001012000094,202001012000096;202001012000094;202001012000094;202001012000094,202001012000094;202001012000094;202001012000094,2020-01-10 14:17:29,
PJ1,012,KITTING NOT SETTING IN PROCESS,202001012000094,202001012000096;202001012000094;202001012000094;202001012000094,202001012000094;202001012000094;202001012000094,2020-01-10 14:17:29,
PJ1,012,FGGGGGGGGGGGGGGGGGGGGGGGGG,202001012000093,202001012000094;202001012000094;202001012000094;202001012000094,SDDDD202001012000094;202001012000094;202001012000094,2020-01-10 14:23:09,
PJ1,012,FGGGGGGGGGGGGGGGGGGGGGGGGG,202001012000093,202001012000094;202001012000094;202001012000094;202001012000094,SDDDD202001012000094;202001012000094;202001012000094,2020-01-10 14:23:09,
PJ1,046,KITTING NOT SETTING IN PROCESS,202001046000009,DDDDDDDĐADDDD;202001046000009;202001046000009;202001046000009;202001046000009;202001046000009,NOT,2020-01-10 16:38:11,
PJ1,046,KITTING NOT SETTING IN PROCESS,202001046000009,DDDDDDDĐADDDD;202001046000009;202001046000009;202001046000009;202001046000009;202001046000009,NOT,2020-01-10 16:38:11,
PJ1,046,KITTING NOT SETTING IN PROCESS,202001046000010,NOT,202001046000010;202001046000010;202001046000010;202001046000010;202001046000010,2020-01-10 16:42:46,
PJ1,046,KITTING NOT SETTING IN PROCESS,202001046000010,NOT,202001046000010;202001046000010;202001046000010;202001046000010;202001046000010,2020-01-10 16:42:46,
PJ1,046,KITTING NOT SETTING IN PROCESS,202001046000011,NOT,202001046000010;202001046000010;202001046000010;202001046000010;202001046000010,2020-01-10 16:44:07,
PJ1,046,KITTING NOT SETTING IN PROCESS,202001046000011,NOT,202001046000010;202001046000010;202001046000010;202001046000010;202001046000010,2020-01-10 16:44:07,
PJ1,046,KITTING NOT SETTING IN PROCESS,202001046000004,202001046000004;5J 2001041644531;4C364E8DC0A6;50 2,202001046000004;202001046000004;202001046000004;202001046000004;202001046000004,2020-01-10 17:23:03,
PJ1,046,KITTING NOT SETTING IN PROCESS,202001046000004,202001046000004;5J 2001041644531;4C364E8DC0A6;50 2,202001046000004;202001046000004;202001046000004;202001046000004;202001046000004,2020-01-10 17:23:03,
