TEMP_SERIAL,MODEL_CODE, MODEL_NAME, LINE_NAME, ACCESSORIES_LIST, INSERT_DT
PT-VMZ50U7,003,PT-VMZ50U7,PT02,DPQW1317ZA/AS;DPQV1035ZA/AS,2020-02-14 10:42:22,
PT-VMZ50U7,003,,PT02,DPQW1317ZA/AS;DPQV1035ZA/ASDPQW1317ZA/AS;DPQV1035ZA/AS,2020-02-14 10:42:35,
PT-VMZ50U7,003,PT-VMZ50U7,PT02,DPQW1317ZA/AS;DPQV1035ZA/AS,2020-02-14 10:45:28,
PT-VMZ50U7,003,PT-VMZ50U7,PT02,DPQW1317ZA/AS;DPQV1035ZA/AS,2020-02-14 10:45:55,
PT-VMZ50U7,003,PT-VMZ50U7,PT02,DPQW1317ZA/AS;DPQV1035ZA/AS,2020-02-14 10:46:56,
PT-VMZ50U7,003,PT-VMZ50U7,PT02,DPQW1317ZA/AS;DPQV1035ZA/ASDPQW1317ZA/AS;DPQV1035ZA/AS,2020-02-14 11:13:09,
PT-VMZ50U7,003,PT-VMZ50U7,PT02,DPQW1317ZA/AS;DPQV1035ZA/AS,2020-02-14 14:03:56,
PT-VMZ50U7,003,PT-VMZ50U7,PT02,DPQW1317ZA/AS;DPQV1035ZA/ASDPQW1317ZA/AS;DPQV1035ZA/AS,2020-02-14 14:04:06,
202001003000006,003,PT-VMZ50U7,DPQW1314ZA/V1;N2QAYA000204;K2CG3YY00112,2020-02-14 14:32:15,
202001003000006,003,PT-VMZ50U7,DPQW1314ZA/V1;N2QAYA000204;K2CG3YY00112,2020-02-14 14:33:08,
202001003000006,003,PT-VMZ50U7,DPQW1314ZA/V1;N2QAYA000204;K2CG3YY00112,2020-02-14 14:34:11,
202001003000006,003,PT-VMZ50U7,DPQW1314ZA/V1;N2QAYA000204;K2CG3YY00112,2020-02-14 14:37:08,
202001003000007,003,PT-VMZ50U7,DPQW1314ZA/V1;N2QAYA000204;K2CG3YY00112,2020-02-14 14:40:54,
